"file_name","value"
"A19433.txt",-2.1839017868042
"A08441.txt",-2.4926233291626
"A21266.txt",-1.51702976226807
"B12279.txt",-2.59201836585999
"A07787.txt",-2.05575132369995
"A01560.txt",-1.217808842659
"A00682.txt",-2.76904964447021
"A03481.txt",-1.50613033771515
"A13235.txt",-1.16754329204559
"A08133.txt",-1.41962730884552
"A13629.txt",-2.24764513969421
"A72769.txt",-0.38204362988472
"B14450.txt",-0.652850985527039
"A20105.txt",-1.68421673774719
"A17070.txt",-1.6682254076004
"B08204.txt",-2.20666313171387
"B14216.txt",-2.91703820228577
"A11816.txt",-1.85316467285156
"A07423.txt",-1.30327367782593
"A07101.txt",-0.576774954795837
"B12280.txt",-1.63936507701874
"A04442.txt",-1.72743511199951
"A21049.txt",-0.973914802074432
"A19293.txt",-1.68877375125885
